serial ,build date,mfg location,lot number,QR Data

K001,Jul-25,SJ,1,https://QR.looma.education?serial=K001&date=July 2025&location=SJ&lot=1

K001,Jul-25,SJ,1,https://QR.looma.education?serial=K001&date=July 2025&location=SJ&lot=1

K001,Jul-25,SJ,1,https://QR.looma.education?serial=K001&date=July 2025&location=SJ&lot=1

K002,Jul-25,SJ,1,https://QR.looma.education?serial=K002&date=July 2025&location=SJ&lot=1

K002,Jul-25,SJ,1,https://QR.looma.education?serial=K002&date=July 2025&location=SJ&lot=1

K002,Jul-25,SJ,1,https://QR.looma.education?serial=K002&date=July 2025&location=SJ&lot=1

K003,Jul-25,SJ,1,https://QR.looma.education?serial=K003&date=July 2025&location=SJ&lot=1

K003,Jul-25,SJ,1,https://QR.looma.education?serial=K003&date=July 2025&location=SJ&lot=1

K003,Jul-25,SJ,1,https://QR.looma.education?serial=K003&date=July 2025&location=SJ&lot=1

K004,Jul-25,SJ,1,https://QR.looma.education?serial=K004&date=July 2025&location=SJ&lot=1

K004,Jul-25,SJ,1,https://QR.looma.education?serial=K004&date=July 2025&location=SJ&lot=1

K004,Jul-25,SJ,1,https://QR.looma.education?serial=K004&date=July 2025&location=SJ&lot=1

K005,Jul-25,SJ,1,https://QR.looma.education?serial=K005&date=July 2025&location=SJ&lot=1

K005,Jul-25,SJ,1,https://QR.looma.education?serial=K005&date=July 2025&location=SJ&lot=1

K005,Jul-25,SJ,1,https://QR.looma.education?serial=K005&date=July 2025&location=SJ&lot=1

K006,Jul-25,SJ,1,https://QR.looma.education?serial=K006&date=July 2025&location=SJ&lot=1

K006,Jul-25,SJ,1,https://QR.looma.education?serial=K006&date=July 2025&location=SJ&lot=1

K006,Jul-25,SJ,1,https://QR.looma.education?serial=K006&date=July 2025&location=SJ&lot=1

K007,Jul-25,SJ,1,https://QR.looma.education?serial=K007&date=July 2025&location=SJ&lot=1

K007,Jul-25,SJ,1,https://QR.looma.education?serial=K007&date=July 2025&location=SJ&lot=1

K007,Jul-25,SJ,1,https://QR.looma.education?serial=K007&date=July 2025&location=SJ&lot=1

K008,Jul-25,SJ,1,https://QR.looma.education?serial=K008&date=July 2025&location=SJ&lot=1

K008,Jul-25,SJ,1,https://QR.looma.education?serial=K008&date=July 2025&location=SJ&lot=1

K008,Jul-25,SJ,1,https://QR.looma.education?serial=K008&date=July 2025&location=SJ&lot=1

K009,Jul-25,SJ,1,https://QR.looma.education?serial=K009&date=July 2025&location=SJ&lot=1

K009,Jul-25,SJ,1,https://QR.looma.education?serial=K009&date=July 2025&location=SJ&lot=1

K009,Jul-25,SJ,1,https://QR.looma.education?serial=K009&date=July 2025&location=SJ&lot=1

K010,Jul-25,SJ,1,https://QR.looma.education?serial=K010&date=July 2025&location=SJ&lot=1

K010,Jul-25,SJ,1,https://QR.looma.education?serial=K010&date=July 2025&location=SJ&lot=1

K010,Jul-25,SJ,1,https://QR.looma.education?serial=K010&date=July 2025&location=SJ&lot=1

K011,Jul-25,SJ,1,https://QR.looma.education?serial=K011&date=July 2025&location=SJ&lot=1

K011,Jul-25,SJ,1,https://QR.looma.education?serial=K011&date=July 2025&location=SJ&lot=1

K011,Jul-25,SJ,1,https://QR.looma.education?serial=K011&date=July 2025&location=SJ&lot=1

K012,Jul-25,SJ,1,https://QR.looma.education?serial=K012&date=July 2025&location=SJ&lot=1

K012,Jul-25,SJ,1,https://QR.looma.education?serial=K012&date=July 2025&location=SJ&lot=1

K012,Jul-25,SJ,1,https://QR.looma.education?serial=K012&date=July 2025&location=SJ&lot=1

K013,Jul-25,SJ,1,https://QR.looma.education?serial=K013&date=July 2025&location=SJ&lot=1

K013,Jul-25,SJ,1,https://QR.looma.education?serial=K013&date=July 2025&location=SJ&lot=1

K013,Jul-25,SJ,1,https://QR.looma.education?serial=K013&date=July 2025&location=SJ&lot=1

K014,Jul-25,SJ,1,https://QR.looma.education?serial=K014&date=July 2025&location=SJ&lot=1

K014,Jul-25,SJ,1,https://QR.looma.education?serial=K014&date=July 2025&location=SJ&lot=1

K014,Jul-25,SJ,1,https://QR.looma.education?serial=K014&date=July 2025&location=SJ&lot=1

K015,Jul-25,SJ,1,https://QR.looma.education?serial=K015&date=July 2025&location=SJ&lot=1

K015,Jul-25,SJ,1,https://QR.looma.education?serial=K015&date=July 2025&location=SJ&lot=1

K015,Jul-25,SJ,1,https://QR.looma.education?serial=K015&date=July 2025&location=SJ&lot=1

K016,Jul-25,SJ,1,https://QR.looma.education?serial=K016&date=July 2025&location=SJ&lot=1

K016,Jul-25,SJ,1,https://QR.looma.education?serial=K016&date=July 2025&location=SJ&lot=1

K016,Jul-25,SJ,1,https://QR.looma.education?serial=K016&date=July 2025&location=SJ&lot=1

K017,Jul-25,SJ,1,https://QR.looma.education?serial=K017&date=July 2025&location=SJ&lot=1

K017,Jul-25,SJ,1,https://QR.looma.education?serial=K017&date=July 2025&location=SJ&lot=1

K017,Jul-25,SJ,1,https://QR.looma.education?serial=K017&date=July 2025&location=SJ&lot=1

K018,Jul-25,SJ,1,https://QR.looma.education?serial=K018&date=July 2025&location=SJ&lot=1

K018,Jul-25,SJ,1,https://QR.looma.education?serial=K018&date=July 2025&location=SJ&lot=1

K018,Jul-25,SJ,1,https://QR.looma.education?serial=K018&date=July 2025&location=SJ&lot=1

K019,Jul-25,SJ,1,https://QR.looma.education?serial=K019&date=July 2025&location=SJ&lot=1

K019,Jul-25,SJ,1,https://QR.looma.education?serial=K019&date=July 2025&location=SJ&lot=1

K019,Jul-25,SJ,1,https://QR.looma.education?serial=K019&date=July 2025&location=SJ&lot=1

